date,checkout_id,is_checkout,qty,unit_price
2024-12-27,6119008,0,0,Rp 25.000
2024-12-27,7003039,0,0,Rp 25.000
2024-12-28,2570606,0,0,Rp 25.000
2024-12-28,7988659,1,3,Rp 25.000
2024-12-28,9540890,1,1,Rp 25.000
2024-12-29,2309715,0,0,Rp 25.000
2024-12-29,3787892,0,0,Rp 25.000
2024-12-29,8822878,0,0,Rp 25.000
2024-12-30,1259125,0,0,Rp 25.000
2024-12-30,1489873,0,0,Rp 25.000
2024-12-30,1492300,1,2,Rp 25.000
2024-12-30,3112179,0,0,Rp 25.000
2024-12-30,4949819,0,0,Rp 25.000
2024-12-30,6716643,0,0,Rp 25.000
2024-12-30,8192306,0,0,Rp 25.000
2024-12-31,1226898,0,0,Rp 25.000
2024-12-31,1446135,1,4,Rp 25.000
2024-12-31,1724876,0,0,Rp 25.000
2024-12-31,1727211,0,0,Rp 25.000
2024-12-31,1857045,1,3,Rp 25.000
2024-12-31,1919352,0,0,Rp 25.000
2024-12-31,1923072,0,0,Rp 25.000
2024-12-31,1936623,0,0,Rp 25.000
2024-12-31,2074966,0,0,Rp 25.000
2024-12-31,2076965,0,0,Rp 25.000
2024-12-31,2151028,0,0,Rp 25.000
2024-12-31,2166857,1,3,Rp 25.000
2024-12-31,2887943,0,0,Rp 25.000
2024-12-31,2919908,0,0,Rp 25.000
2024-12-31,2929300,0,0,Rp 25.000
2024-12-31,2942358,0,0,Rp 25.000
2024-12-31,2969097,0,0,Rp 25.000
2024-12-31,2980497,0,0,Rp 25.000
2024-12-31,3617159,0,0,Rp 25.000
2024-12-31,3956228,0,0,Rp 25.000
2024-12-31,4013222,0,0,Rp 25.000
2024-12-31,4088176,0,0,Rp 25.000
2024-12-31,4093031,1,1,Rp 25.000
2024-12-31,4260305,0,0,Rp 25.000
2024-12-31,4277223,0,0,Rp 25.000
2024-12-31,4424374,0,0,Rp 25.000
2024-12-31,4468659,1,1,Rp 25.000
2024-12-31,4517558,0,0,Rp 25.000
2024-12-31,4697948,0,0,Rp 25.000
2024-12-31,4769145,0,0,Rp 25.000
2024-12-31,4971807,0,0,Rp 25.000
2024-12-31,4979977,1,5,Rp 25.000
2024-12-31,5068010,0,0,Rp 25.000
2024-12-31,5104433,0,0,Rp 25.000
2024-12-31,5171791,0,0,Rp 25.000
2024-12-31,5390861,0,0,Rp 25.000
2024-12-31,5412137,0,0,Rp 25.000
2024-12-31,5490104,0,0,Rp 25.000
2024-12-31,5539681,0,0,Rp 25.000
2024-12-31,5551942,0,0,Rp 25.000
2024-12-31,5585614,0,0,Rp 25.000
2024-12-31,5656164,0,0,Rp 25.000
2024-12-31,6247176,0,0,Rp 25.000
2024-12-31,6266102,0,0,Rp 25.000
2024-12-31,6360543,0,0,Rp 25.000
2024-12-31,6389561,0,0,Rp 25.000
2024-12-31,6447103,0,0,Rp 25.000
2024-12-31,6550121,0,0,Rp 25.000
2024-12-31,6658830,0,0,Rp 25.000
2024-12-31,6724113,0,0,Rp 25.000
2024-12-31,6814433,0,0,Rp 25.000
2024-12-31,7178440,0,0,Rp 25.000
2024-12-31,7256578,0,0,Rp 25.000
2024-12-31,7290568,1,-1,Rp 25.000
2024-12-31,7299059,0,0,Rp 25.000
2024-12-31,7363292,0,0,Rp 25.000
2024-12-31,7462943,1,2,Rp 25.000
2024-12-31,7653876,0,0,Rp 25.000
2024-12-31,7695325,0,0,Rp 25.000
2024-12-31,7949972,0,0,Rp 25.000
2024-12-31,8249289,0,0,Rp 25.000
2024-12-31,8519153,0,0,Rp 25.000
2024-12-31,8604960,0,0,Rp 25.000
2024-12-31,8724411,0,0,Rp 25.000
2024-12-31,8898841,0,0,Rp 25.000
2024-12-31,8978329,0,0,Rp 25.000
2024-12-31,9157109,0,0,Rp 25.000
2024-12-31,9889058,0,0,Rp 25.000
2024-12-31,9918208,0,0,Rp 25.000
2024-12-31,9951749,0,0,Rp 25.000
2024-12-31,9958566,0,0,Rp 25.000
2025-01-01,1154502,0,0,Rp 25.000
2025-01-01,1224464,1,7,Rp 25.000
2025-01-01,1225587,0,0,Rp 25.000
2025-01-01,1307581,1,3,Rp 25.000
2025-01-01,1520454,0,0,Rp 25.000
2025-01-01,1576085,0,0,Rp 25.000
2025-01-01,1645678,0,0,Rp 25.000
2025-01-01,1913155,0,0,Rp 25.000
2025-01-01,2027707,0,0,Rp 25.000
2025-01-01,2090724,0,0,Rp 25.000
2025-01-01,2140861,0,0,Rp 25.000
2025-01-01,2165275,0,0,Rp 25.000
2025-01-01,2249191,0,0,Rp 25.000
2025-01-01,2301821,0,0,Rp 25.000
2025-01-01,2343966,0,0,Rp 25.000
2025-01-01,2360298,0,0,Rp 25.000
2025-01-01,2665792,1,1,Rp 25.000
2025-01-01,2889019,0,0,Rp 25.000
2025-01-01,2922472,0,0,Rp 25.000
2025-01-01,2927109,1,2,Rp 25.000
2025-01-01,3259302,1,1,Rp 25.000
2025-01-01,3260725,0,0,Rp 25.000
2025-01-01,3354540,0,0,Rp 25.000
2025-01-01,3728975,0,0,Rp 25.000
2025-01-01,3927267,0,0,Rp 25.000
2025-01-01,4105742,0,0,Rp 25.000
2025-01-01,4145205,0,0,Rp 25.000
2025-01-01,4285906,0,0,Rp 25.000
2025-01-01,4418047,0,0,Rp 25.000
2025-01-01,4542691,0,0,Rp 25.000
2025-01-01,4584031,0,0,Rp 25.000
2025-01-01,4953507,0,0,Rp 25.000
2025-01-01,5297463,0,0,Rp 25.000
2025-01-01,5689400,0,0,Rp 25.000
2025-01-01,6636787,0,0,Rp 25.000
2025-01-01,6725990,0,0,Rp 25.000
2025-01-01,6791046,0,0,Rp 25.000
2025-01-01,6828879,0,0,Rp 25.000
2025-01-01,7075925,0,0,Rp 25.000
2025-01-01,7248454,1,1,Rp 25.000
2025-01-01,7255165,0,0,Rp 25.000
2025-01-01,7545323,0,0,Rp 25.000
2025-01-01,7561424,0,0,Rp 25.000
2025-01-01,7577493,1,6,Rp 25.000
2025-01-01,7663800,0,0,Rp 25.000
2025-01-01,7798514,0,0,Rp 25.000
2025-01-01,7885095,0,0,Rp 25.000
2025-01-01,7905158,0,0,Rp 25.000
2025-01-01,8232332,0,0,Rp 25.000
2025-01-01,8271659,0,0,Rp 25.000
2025-01-01,8602353,0,0,Rp 25.000
2025-01-01,8704730,0,0,Rp 25.000
2025-01-01,8728583,0,0,Rp 25.000
2025-01-01,8949498,1,3,Rp 25.000
2025-01-01,9150351,0,0,Rp 25.000
2025-01-01,9330683,0,0,Rp 25.000
2025-01-01,9597505,0,0,Rp 25.000
2025-01-01,9627671,0,0,Rp 25.000
2025-01-01,9682899,0,0,Rp 25.000
2025-01-01,9810807,0,0,Rp 25.000
2025-01-02,1077662,0,0,Rp 25.000
2025-01-02,1173009,0,0,Rp 25.000
2025-01-02,1362342,0,0,Rp 25.000
2025-01-02,1564107,0,0,Rp 25.000
2025-01-02,1735196,0,0,Rp 25.000
2025-01-02,1858558,1,2,Rp 25.000
2025-01-02,2000854,0,0,Rp 25.000
2025-01-02,2044221,0,0,Rp 25.000
2025-01-02,2198529,0,0,Rp 25.000
2025-01-02,2230312,0,0,Rp 25.000
2025-01-02,2263362,0,0,Rp 25.000
2025-01-02,2619876,0,0,Rp 25.000
2025-01-02,2693104,0,0,Rp 25.000
2025-01-02,3215890,0,0,Rp 25.000
2025-01-02,3251453,0,0,Rp 25.000
2025-01-02,3263587,0,0,Rp 25.000
2025-01-02,3459471,0,0,Rp 25.000
2025-01-02,3709203,0,0,Rp 25.000
2025-01-02,3791859,1,3,Rp 25.000
2025-01-02,3954942,1,3,Rp 25.000
2025-01-02,4090639,1,-1,Rp 25.000
2025-01-02,4425502,0,0,Rp 25.000
2025-01-02,4511487,0,0,Rp 25.000
2025-01-02,4959898,0,0,Rp 25.000
2025-01-02,5000005,0,0,Rp 25.000
2025-01-02,5370074,1,3,Rp 25.000
2025-01-02,5461009,0,0,Rp 25.000
2025-01-02,5470667,1,1,Rp 25.000
2025-01-02,5509433,0,0,Rp 25.000
2025-01-02,5609706,0,0,Rp 25.000
2025-01-02,5619334,1,3,Rp 25.000
2025-01-02,5639699,0,0,Rp 25.000
2025-01-02,5674793,0,0,Rp 25.000
2025-01-02,5870080,0,0,Rp 25.000
2025-01-02,5881131,1,4,Rp 25.000
2025-01-02,5952961,0,0,Rp 25.000
2025-01-02,6664360,0,0,Rp 25.000
2025-01-02,6670711,0,0,Rp 25.000
2025-01-02,6842271,0,0,Rp 25.000
2025-01-02,6863196,0,0,Rp 25.000
2025-01-02,6931035,0,0,Rp 25.000
2025-01-02,6989135,0,0,Rp 25.000
2025-01-02,7047894,0,0,Rp 25.000
2025-01-02,7240525,0,0,Rp 25.000
